200 kVp X-ray spectrum data of 12 degree tunsten target with 0.8 mmAl permanent filteration
Energy(keV), Fluence (cm⁻² keV⁻¹)
52.3, 12086476.13
52.4, 12067834.72
52.5, 12049143.27
52.6, 12030428.31
52.7, 12011684.67
52.8, 11992931.09
52.9, 11974164.9
53.0, 11955371.46
53.1, 11936554.45
53.2, 11917720.01
53.3, 11898869.25
53.4, 11880000.64
53.5, 11861052.96
53.6, 11842082.7
53.7, 11823152.29
53.8, 11804371.96
53.9, 11785569.83
54.0, 11766677.88
54.1, 11747728.22
54.2, 11728752.99
54.3, 11709728.54
54.4, 11690636.54
54.5, 11671536.05
54.6, 11652434.87
54.7, 11633333.64
54.8, 11614215.33
54.9, 11595083.36
55.0, 11575939.24
55.1, 11556779.62
55.2, 11537616.44
55.3, 11518456.69
55.4, 11499282.32
55.5, 11480048.31
55.6, 11460815.94
55.7, 11441639.94
55.8, 11422605.5
55.9, 11403574.59
56.0, 11384456.14
56.1, 11365303.13
56.2, 11346142.74
56.3, 11326901.01
56.4, 11307652.06
56.5, 11288404.32
56.6, 11269150.25
56.7, 11249898.15
56.8, 11230652.55
56.9, 11211406.15
57.0, 11192165.97
57.1, 11172932.47
57.2, 11153700.47
57.3, 11134470.45
57.4, 11115236.56
57.5, 11095969.15
57.6, 11076727.02
57.7, 11057588.13
57.8, 11038560.46
57.9, 384293874.4
58.0, 11000416.52
58.1, 10981262.6
58.2, 10962078.48
58.3, 10942864.69
58.4, 10923658.72
58.5, 10904467.92
58.6, 10885288.64
58.7, 10866112.18
58.8, 10846954.6
58.9, 10827815.01
59.0, 10808680.15
59.1, 10789551.65
59.2, 10770438.86
59.3, 675471655.3
59.4, 10732235.1
59.5, 10713129.3
59.6, 10694041.97
59.7, 10675055.69
59.8, 10656161.06
59.9, 10637280.77
60.0, 10618203.38
60.1, 10598989.25
60.2, 10579725.71
60.3, 10560482.78
60.4, 10541252.71
60.5, 10522035.33
60.6, 10502830.95
60.7, 10483637.8
60.8, 10464461.91
60.9, 10445308.6
61.0, 10426174.34
61.1, 10407064.23
61.2, 10387980.01
61.3, 10368919.65
61.4, 10349833.06
61.5, 10330750.37
61.6, 10311703.29
61.7, 10292788.05
61.8, 10273945.85
61.9, 10255125.58
62.0, 10236223.64
62.1, 10217265.96
62.2, 10198305.1
62.3, 10179365.06
62.4, 10160457.05
62.5, 10141576.2
62.6, 10122711.74
62.7, 10103864.75
62.8, 10085035.44
62.9, 10066229.17
63.0, 10047464.96
63.1, 10028737.01
63.2, 10010030.68
63.3, 9991346.154
63.4, 9972631.336
63.5, 9953933.418
63.6, 9935260.18
63.7, 9916725.975
63.8, 9898258.007
63.9, 9879823.01
64.0, 9861301.49
64.1, 9842741.473
64.2, 9824200.648
64.3, 9805679.189
64.4, 9787184.769
64.5, 9768720.545
64.6, 9750280.345
64.7, 9731861.319
64.8, 9713480.976
64.9, 9695134.597
65.0, 9676814.178
65.1, 9658523.036
65.2, 9640257.679
65.3, 9622007.842
65.4, 9603733.269
65.5, 9585483.925
65.6, 9567266.432
65.7, 9549196.211
65.8, 9531177.991
65.9, 9513200.177
66.0, 9495101.167
66.1, 9477013.106
66.2, 9458947.724
66.3, 9440909.199
66.4, 9422901.618
66.5, 9404924.963
66.6, 9386984.089
66.7, 9369075.153
66.8, 9351189.522
66.9, 90051802.37
67.0, 9315490.206
67.1, 9297680.148
67.2, 165909971.4
67.3, 9262165.339
67.4, 9244410.631
67.5, 9226688.616
67.6, 10971171.98
67.7, 11415732.81
67.8, 9173950.63
67.9, 9156451.893
68.0, 9138868.475
68.1, 9121307.742
68.2, 9103772.651
68.3, 9086263.284
68.4, 9068784.235
68.5, 9051341.581
68.6, 9033929.504
68.7, 9016548.062
68.8, 8999197.08
68.9, 8981878.499
69.0, 8964590.027
69.1, 8947329.847
69.2, 64628799.48
69.3, 8912867.217
69.4, 9878562.227
69.5, 6716574.173
69.6, 12884267.63
69.7, 6214735.871
69.8, 6210103.296
69.9, 6205699.726
70.0, 6200559.494
70.1, 6194741.504
70.2, 6188906.682
70.3, 6183056.386
70.4, 6177191.634
70.5, 6171312.805
70.6, 6165414.7
70.7, 6159496.201
70.8, 6153558.722
70.9, 6147602.465
71.0, 6141627.368
71.1, 6135646.302
71.2, 6129872.624
71.3, 6124167.125
71.4, 6118434.966
71.5, 6112687.613
71.6, 6106930.36
71.7, 6101215.601
71.8, 6095451.975
71.9, 6089666.578
72.0, 6083818.309
72.1, 6077959.894
72.2, 6072083.916
72.3, 6066195.738
72.4, 6060437.352
72.5, 6054725.332
72.6, 6048992.859
72.7, 6043240.141
72.8, 6037471.77
72.9, 6031689.777
73.0, 6025889.795
73.1, 6020071.19
73.2, 6014234.463
73.3, 6008353.395
73.4, 6002451.568
73.5, 5996533.264
73.6, 5990616.871
73.7, 5984730.374
73.8, 5978802.366
73.9, 5972868.826
74.0, 5966866.083
74.1, 5960848.946
74.2, 5954815.053
74.3, 5948763.972
74.4, 5942699.4
74.5, 5936621.524
74.6, 5930525.93
74.7, 5924414.748
74.8, 5918307.469
74.9, 5912236.184
75.0, 5906154.089
75.1, 5900056.515
75.2, 5893943.296
75.3, 5887792.71
75.4, 5881628.491
75.5, 5875450.823
75.6, 5869283.924
75.7, 5863121.416
75.8, 5856936.038
75.9, 5850749.28
76.0, 5844499.109
76.1, 5838239.72
76.2, 5831964.623
76.3, 5825673.994
76.4, 5819368.004
76.5, 5813050.81
76.6, 5806722.581
76.7, 5800380.721
76.8, 5794031.161
76.9, 5787672.847
77.0, 5781303.414
77.1, 5774923.03
77.2, 5768520.136
77.3, 5762084.899
77.4, 5755641.283
77.5, 5749189.45
77.6, 5742738.782
77.7, 5736299.464
77.8, 5729845.182
77.9, 5723388.721
