160 kVp X-ray spectrum data of 12 degree tunsten target with 0.8 mmAl permanent filteration
Energy(keV),Fluence (cm⁻² keV⁻¹)
63.4, 7470767.879
63.5, 7453847.862
63.6, 7436955.792
63.7, 7420152.856
63.8, 7403412.964
63.9, 7386713.563
64.0, 7369972.285
64.1, 7353258.17
64.2, 7336577.119
64.3, 7319931.61
64.4, 7303319.786
64.5, 7286741.581
64.6, 7270195.565
64.7, 7253680.673
64.8, 7237207.075
64.9, 7220771.855
65.0, 7204328.32
65.1, 7187923.572
65.2, 7171524.219
65.3, 7155247.549
65.4, 7139023.747
65.5, 7122841.466
65.6, 7106617.632
65.7, 7090414.88
65.8, 7074242.864
65.9, 7058101.593
66.0, 7041995.367
66.1, 7025926.964
66.2, 7009892.003
66.3, 6993901.278
66.4, 6977943.007
66.5, 6962006.915
66.6, 6946077.786
66.7, 6930182.94
66.8, 6914277.242
66.9, 55940478.97
67.0, 6882785.259
67.1, 6867102.015
67.2, 101982742.7
67.3, 6835684.548
67.4, 6820021.726
67.5, 6804389.689
67.6, 7858572.378
67.7, 8123449.475
67.8, 6757709.331
67.9, 6742222.431
68.0, 6726769.65
68.1, 6711337.516
68.2, 6695915.826
68.3, 6680498.601
68.4, 6665103.328
68.5, 6649850.346
68.6, 6634627.643
68.7, 6619451.776
68.8, 6604230.897
68.9, 6589036.485
69.0, 6573872.201
69.1, 6558743.544
69.2, 40298040.83
69.3, 6528602.14
69.4, 7109119.341
69.5, 5330441.347
69.6, 9383765.212
69.7, 5027740.338
69.8, 5020721.957
69.9, 5013834.28
70.0, 5006546.668
70.1, 4998936.771
70.2, 4991316.099
70.3, 4983696.641
70.4, 4976022.364
70.5, 4968343.994
70.6, 4960669.606
70.7, 4952991.956
70.8, 4945313.317
70.9, 4937630.544
71.0, 4929943.05
71.1, 4922262.306
71.2, 4914707.999
71.3, 4907195.943
71.4, 4899653.371
71.5, 4892091.697
71.6, 4884533.321
71.7, 4877035.724
71.8, 4869530.768
71.9, 4862028.103
72.0, 4854474.845
72.1, 4846924.375
72.2, 4839371.363
72.3, 4831818.087
72.4, 4824346.282
72.5, 4816908.389
72.6, 4809466.321
72.7, 4802017.932
72.8, 4794567.144
72.9, 4787087.153
73.0, 4779573.056
73.1, 4772058.709
73.2, 4764555.047
73.3, 4757102.463
73.4, 4749640.539
73.5, 4742186.635
73.6, 4734677.337
73.7, 4727165.565
73.8, 4719649.368
73.9, 4712133.342
74.0, 4704620.045
74.1, 4697104.062
74.2, 4689584.158
74.3, 4682062.286
74.4, 4674538.399
74.5, 4666967.416
74.6, 4659380.441
74.7, 4651792.504
74.8, 4644233.106
74.9, 4636754.842
75.0, 4629274.172
75.1, 4621801.272
75.2, 4614275.211
75.3, 4606749.39
75.4, 4599220.19
75.5, 4591690.443
75.6, 4584161.07
75.7, 4576631.776
75.8, 4569100.74
75.9, 4561570.333
76.0, 4554034.112
76.1, 4546443.323
76.2, 4538856.229
76.3, 4531270.465
76.4, 4523708.314
76.5, 4516184.145
76.6, 4508656.594
76.7, 4501137.046
76.8, 4493570.225
76.9, 4486010.103
77.0, 4478452.882
77.1, 4470894.406
77.2, 4463334.253
77.3, 4455774.131
77.4, 4448213.527
77.5, 4440654.484
77.6, 4433071.484
77.7, 4425456.386
77.8, 4417847.308
77.9, 4410240.261
78.0, 4402662.811
78.1, 4395121.77
78.2, 4387576.904
78.3, 4380042.295
78.4, 4372462.317
78.5, 4364892.002
78.6, 4357321.933
78.7, 4349753.104
78.8, 4342186.808
78.9, 4334622.113
79.0, 4327058.737
79.1, 4319498.254
79.2, 4311903.823
79.3, 4304302.552
79.4, 4296706.42
79.5, 4289114.64
79.6, 4281557.077
79.7, 4274029.863
79.8, 4266501.307
79.9, 4258984.969
80.0, 4251394.895
80.1, 4243788.227
80.2, 4236184.486
80.3, 4228583.182
80.4, 4220984.15
80.5, 4213387.472
80.6, 4205793.142
80.7, 4198197.962
80.8, 4190575.084
80.9, 4182946.849
81.0, 4175325.311
81.1, 4167708.901
81.2, 4160126.649
81.3, 4152564.98
81.4, 4145003.503
81.5, 4137454.495
81.6, 4129869.506
81.7, 4122296.213
81.8, 4114727.908
81.9, 4107165.912
82.0, 4099608.02
82.1, 4092054.237
82.2, 4084506.409
82.3, 4076944.14
82.4, 4069364.396
82.5, 4061785.352
82.6, 4054214.365
82.7, 4046649.909
82.8, 4039120.02
82.9, 4031609.39
83.0, 4024102.505
83.1, 4016607.738
83.2, 4009084.975
83.3, 4001573.439
83.4, 3994065.274
83.5, 3986561.852
83.6, 3979066.968
83.7, 3971577.62
83.8, 3964085.414
83.9, 3956587.954
84.0, 3949075.351
84.1, 3941570.104
84.2, 3934070.823
84.3, 3926580.197
84.4, 3919120.311
84.5, 3911677.555
84.6, 3904240.051
84.7, 3896814.107
84.8, 3889365.957
84.9, 3881926.923
85.0, 3874492.98
85.1, 3867064.448
85.2, 3859643.659
85.3, 3852230.32
85.4, 3844814.625
85.5, 3837402.713
85.6, 3829978.899
85.7, 3822562.169
85.8, 3815153.963
85.9, 3807753.51
86.0, 3800377.943
86.1, 3793010.766
86.2, 3785648.315
86.3, 3778302.879
86.4, 3770948.547
86.5, 3763606.059
86.6, 3756268.366
86.7, 3748936.619
86.8, 3741609.62
86.9, 3734283.953
87.0, 3726957.795
87.1, 3719634.828
87.2, 3712307.283
87.3, 3704986.546
